airline_sentiment,text
positive,@SouthwestAir any chance of adding LAX-&gt
positive,@United Is Changing Its #MileagePlus Program: Winners and Losers http://t.co/38OTLzAK5d #airline #travel #loyalty #rewards
positive,@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Greenfield Daily Reporter http://t.co/LM3opxkxch
positive,@united even though technically after I land I will be silver?
positive,@USAirways how's us 1797 looking today?
positive,@JetBlue CEO weighs profits- flyers - @ChronicleHerald (registration) http://t.co/l2n0egHdgn
positive,@SouthwestAir Is it a temporary site glitch or are you no longer offering flights from GRR to GEG after Feb? Can't find any online :(
positive,@united clicked on the link and got this? #confused http://t.co/xMAQcucWZl
positive,@SouthwestAir Guys- we've got to do something about the inability to check in online for international  flight that has... (1/2)
positive,@JetBlue really caring??
positive,@united how much does it cost to check in an additional bag? Traveling from newark to glasgow. Thank you :)
positive,@JetBlue CEO weighs profits- flyers - @ChronicleHerald (registration) http://t.co/9vKj9S7jrM
positive,@southwestair - kind of early but any idea when dates through the first week of sept will come available?
positive,@JetBlue I hear that the new thing in your planes are the Fly-Fi. How I can check if the flight that Im going to take have it?
positive,“@SouthwestAir:Southwest mobile boarding passes now available in iOS Passbook! http://t.co/xmRvR4lGEg http://t.co/wJoc9f14SU”@tori_leggieri
positive,@SouthwestAir Can you link the article where it says the routes and what times the routes are likely to be? Like TUL-DAL 1:00PM - 7 None
positive,@SouthwestAir Where should I fly by May 3rd? Plz advise.
positive,@SouthwestAir trying to get through to cust relations. Is there another # to use?
negative,@USAirways You need to contact me ASAP. #Furious
positive,@JetBlue what's the link for #FlyFi
positive,“@VirginAmerica: Book out of town with fares from $59/way (+restr). http://t.co/xRdTOV7nl8 http://t.co/4Y78byAckc” @JenniferDawnPro
positive,@JetBlue Can't view seat selection/change seat for flight tomorrow. Can you look into this?
positive,@JetBlue I have a internal bleed in my foot- and I am flying next Tuesday- what should I. Do :( these. Leeds come randomly. I
positive,@SouthwestAir do you think the flights out of Nashville will be Cancelled Flighted tomorrow?
positive,@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Daily Journal http://t.co/w8MTmSP2RY
positive,@USAirways on your website and on your boards at Logan it said it was on time- so we went through security and got to the gate (2)
positive,@SouthwestAir trying to fly out of Nashville tomorrow. How is it looking?
positive,@VirginAmerica was wondering if you guys recieved my dm and we're able to potentially respond asap
positive,@JetBlue no- I am fine to fly! Haha- they come at random- with the hemophilia- but what if i need extra assistance
positive,@SouthwestAir sent
positive,@united Filled in the form you sent the link to on 29.1.15 and then either 9 or 10.2.15
positive,@united all day travel. #swag #ijustwanttosleep
positive,@united actually we did not consider she might have made a mistake. She did not complain beyond that she indicated it on her reservation.
positive,@JetBlue Hopefully next time! Can I send you my future itineraries so the next one can be planned when I'm there? ð
positive,@USAirways flight #3900 fro ORF to PHL.
positive,@SouthwestAir Got it- thanks. Any insight into what will happen tomorrow?
positive,@JetBlue Ok great thanks! I had a great flight- FYI. I'm excited to fly again. I just was frustrated I was not able to check in.
positive,@SouthwestAir could you tell me if any upgrades are available on a flight out of STL tomorrow morning.
positive,@SouthwestAir damn weather messing up everything #serenitynow
positive,@SouthwestAir - any update on flights in to BNA today?
positive,@JetBlue @EllaHenderson Ah! Wish I was there! Good luck!
positive,@united i need my confirmation number! Can you give it to me?
positive,@USAirways How can I change without penalty and not have to call customer service
